sentence,correct_label,verb,verb_idx,prediction
"Already , he has changed the French political landscape in a way that may be more long - lasting than the Reagan Revolution in the U.S. Building the Socialist Party from scratch in 1971 , Mr. Mitterrand went on to prove that a leftist could get elected without France 's flying apart ",1,fly,50,1
The finding of the crack could prompt a re - examination of the struts on the rockets used for Discovery to ensure that cracks have n't been missed there ,0,miss,27,0
Another major Japanese concern is that any mold that slips throught U.S. screening procedures would flourish during the long passage to Japan ,0,flourish,15,0
His native caution strikes a responsive chord with the average German ,0,strike,3,0
'' That would have an impact on aid flowing to El Salvador . ',1,flow,8,1
"Data rooms opened this week , and for each of the eight packages , at least 10 companies plan to examine the information , Mr. Ketelsen said ",0,examine,20,0
Mr. Brooks tape - recorded one of the men present at the meeting saying that he believes Indians ritualistically kill and mutilate one another ,1,kill,19,1
"Nothing Like the Sun '' left you relatively cool , you wo n't want to miss these concerts featuring the former Police chief and his hot new band ",0,miss,15,0
"News of Mr. Bilzerian 's filing , under the Hart - Scott - Rodino Antitrust Act , knocked FlightSafety 's stock up $ 2.25 a share yesterday to close at $ 26.75 in New York Stock Exchange composite trading ",0,knock,17,0
But that bid withered after the Oct. 19 stock market crash ,0,wither,3,0
The good times for the Rev. Jesse Jackson may roll on -- and neither his rivals for the Democratic presidential nomination nor other party heavyweights have the temerity to try to break up the celebration ,1,roll,9,1
"An estimated 18 , 100 Americans will die from it this year , making the disease the fifth - greatest cause of cancer deaths ",0,die,7,0
I confess I fear word will get out that '' the man in the green house is a soft touch '' -- and that I will soon have several '' Clints '' knocking on my door ,0,knock,32,0
Salsa and rap music pour out of the windows ,1,pour,4,1
"While manned launches , such as that of the space shuttle last week , still grab occasional headlines , industry observers are focusing more and more on the moves of trade negotiators ",1,grab,15,1
"Their ambassador , Oleg Sokolov , speaks fluent English , goes to prayer breakfasts with President Corazon Aquino , and gives smooth interviews to the Philippine press in which he urges the country to kick out the Americans and get friendlier with Moscow ",1,kick,34,1
"'' We are very pleased to put this issue to rest , '' Mr. Fish said ",1,rest,10,1
But Sen. Quayle stumbled twice during the day trying to explain his decision to enter the National Guard in 1969 during the Vietnam War ,0,stumble,3,0
"Still , market participants say the firmer U.S. interest rates will lend support to the dollar if tomorrow 's report shows that the trade gap widened in June ",1,lend,11,1
"He said incinerator temperatures of as much as 1 , 000 degrees Celsius are enough to destroy the mineral ",0,destroy,16,0
"With the Pledge , the furlough program and the ACLU , they pumped some genuine voter concerns into the election ",1,pump,12,1
"Then again , other gases might cause a lot of clouds to form , blocking sunlight and cooling things off ",0,cool,17,0
Or marvelously grisly -LRB- like Trotsky careening around with his assassin 's pickax stuck in his head ; or the male hustler brutally bludgeoning Latin heartthrob Ramon Novarro -RRB- ,0,stick,13,0
"DEAN WITTER : '' I ' m not looking to knock the cover off the ball , '' says Manny Korman , Dean Witter Reynolds Inc. 's research director , '' because I ' m unwilling to accept the risk that would entail . '",1,knock,10,1
Friends say a 1975 auto crash that killed his wife and two children pushed Mr. Kiley deeper into his work and seared new priorities into his management approach ,1,kill,7,1
Mr. Paulson also flew over China ,0,fly,3,0
We begged his mother for months to let us take him into Nha Trang and have it fixed ,0,fix,17,0
"Public anger reached its zenith April 30 , 1982 , when angry mobs stopped three taxis bearing margis , dragged them from their cars , bludgeoned and poured acid on them and finally burned them to death ",1,drag,19,1
A countywide sewage - treatment plant recently began operations here ; the smell in a nearby neighborhood is so awful that one teen - age girl says she ca n't eat at home ,0,eat,30,0
'' Does somebody have to get hurt -- or killed ? ',1,kill,9,1
"Most of the banks specifically have targeted marketing campaigns at profitable small companies . -LRB- Separately , Dai - Ichi Kangyo said it will name Ichiro Nakamura , now a vice president , as chairman , succeeding Tetsuya Fujimori ",0,target,6,0
'' I have long suspected that more people are sleeping apart because of snoring than are sleeping together for all other reasons combined . ',0,sleep,16,0
"The size of a Dalmatiner , these horses were ridden by teen - age boys dressed up as Valkyries to give an illusion of distance in the first production of the '' Ring . '",0,ride,9,0
"Since then , Mr. Cahouet has filled nearly every major spot in Mellon 's upper management with executives from New York and West Coast banking centers ",0,fill,6,0
"'' Nothing less than targeted , mandated reductions in acid - rain emissions in the U.S . '' will satisfy Canada , Mr. Mulroney said in his prepared remarks ",0,target,4,0
"Two executive vice presidents resigned from First Chicago Corp. to take other jobs , and the banking concern shifted some officers to fill the vacancies ",0,fill,22,0
"Spring potatoes have been planted on 81 , 900 acres , down 1 % from last year but up 6 % from two years ago ",0,plant,4,0
"Lots of people ride bicycles , joggers are out in fair numbers , and the last time I passed a tennis complex , all the courts were full ",0,ride,3,0
The idea of having one child has struck a deeper root and less people are punished for violating the birth control plan . . . ,1,strike,7,1
"More competition is on the way ; International Business Machines Corp. is expected to roll out a laptop soon to replace its PC Convertible , a near - total failure in the market ",1,roll,14,1
"Since 1977 , fund manager Peter Lynch has stuck to the same basic strategy : buy any attractive stock , no matter what size or sector , or what the market is doing ",1,stick,8,1
"In retelling the story of Freud 's life and work , Peter Gay plows a furrow already dug deep by many previous Freud biographers and historians of psychoanalysis ",0,plow,13,0
"Of course , none or only some of the rules apply to Utah 's private clubs -LRB- open to out - of - towners at a $ 5 fee -RRB- and beer bars , which sell setups and uncork wine but ca n't touch the liquor that you are free to bring in ",0,touch,43,0
"British farmers flourish under the EC 's Common Agriculture Policy , and its food companies have grown to global giants , in part because of EC markets ",0,flourish,2,0
"The solvent failed to dissolve non - cholesterol gallstones in two patients , however ",0,dissolve,4,0
Israeli warplanes destroyed a PLO base in a Druse - held hilltop above Beirut in Israel 's deepest air raid into Lebanon this year ,0,destroy,2,0
"And when Mr. Chirac did get an opponent , he attacked the Francois Mitterrand of 1981 , not the one of 1988 ",0,attack,10,0
"And everywhere Mr. Bush traveled last week , reporters demanded to know if the vice president believes Attorney General Edwin Meese should step down ",1,step,22,1
"If dry weather cuts normal production by just three bushels an acre , the nation 's soybean stockpiles could evaporate by next year , says Richard Loewy , senior grain and oilseed analyst at Prudential - Bache Securities Inc ",0,evaporate,19,0
"While the chief contracting officer in the cruise - missile office , Mr. Parkin in 1982 helped Mr. Galvin get a $ 225 , 964 contract to study the targeting equipment for the Tomahawk missile , according to the Navy and Mr. Parkin ",0,target,29,0
"France 's Socialist government resurrected the previous government 's plan to pump 12 billion francs -LRB- $ 1.88 billion -RRB- into state - owned auto maker Regie Nationale des Usines Renault , a move that may raise hackles in the European Community ",1,pump,11,1
"In the following decade , the Federal Reserve flooded the banks with reserves , providing the raw material for BankAmerica 's profligate lending policies while also creating a spiraling inflation ",1,flood,8,1
"'' This is the kind of junk we ca n't even melt into other garbage , '' says a major coin wholesaler who asked to remain anonymous because he has sold other coins under the auspices of the Marshall Islands ",0,melt,11,0
"Director John McTiernan -LRB- '' Predator '' -RRB- has efficiently slapped together the ingredients for a big , ear - shattering action film : slick , heavily armed villains ; a wife in peril ; stupid TV journalists who only make things worse ; a renegade cop who singlehandedly destroys the bad guys against impossible odds ",0,destroy,49,0
"The difference : An ever wealthier South Korea can imagine absorbing the poorer , less - populated Communist North , but Taiwan , no matter how rich , would be swallowed whole by the massive Chinese mainland ",0,absorb,10,0
Mr. Tyson has denied that he tried to kill himself and that he assaulted his wife ,0,assault,13,0
Wordsworth called him the '' marvellous boy '' and the phrase stuck in literary memory like a Homeric tag line ,1,stick,11,1
"Mr. Reagan 's speech was designed to kick off a triumphant final year in office , but a new poll suggests that his standing in public opinion has n't recovered from the dive it took after the disclosure of the Iran - Contra affair ",1,kick,7,1
Judges often ca n't review voluminous fee applications as they pour in ,1,pour,10,1
"Even then , however , Australia 's new 49 % tax rate kicked in at an even lower income level than the old 60 % top rate did -- only 30 % above average yearly earnings ",1,kick,12,1
And Jackson adviser Roger Wilkins warned that '' trust and loyalty are bound to wither '' if the lines of communication between the two camps are not kept open ,0,wither,14,0
"The pas de deux danced the past week by Secretary of State Shultz and Senator Sam Nunn has been dreadful political ballet , with the Reagan administration discovering what happens when you choose to dance with your political enemies ",0,dance,34,0
"Though riding the luge is a fairly dangerous sport , the scariest moment for the Philippines ' Mr. Ocampo came a week before the Olympics when his credentials to participate were temporarily blocked by Philippine bureaucrats ",0,ride,1,0
"'' He likes to live dangerously , '' says Patrick Minford , a University of Liverpool economist who wants Mr. Lawson to return to exact targeting of money - supply growth ",1,target,25,1
And the court rejected the attempt to foster patriotism through compulsion as an insult to the American tradition : '' To believe that patriotism will not flourish if patriotic ceremonies are voluntary and spontaneous instead of a compulsory routine is to make an unflattering estimate of the appeal of our institutions to free minds . ',1,flourish,26,1
Macmillan advisers said the company plans to stick with its proposal ,1,stick,7,1
"Who could have guessed that the expansion would be rolling relentlessly through a sixth straight year , with no end in sight ",1,roll,9,1
"Sears shares escaped with little damage , falling just 1 8 to 34 1 2 in active trading ",0,escape,2,0
"Mr. Cossa 's grain bin may be filling up , but just last month another 100 peasants -- looking for food and security -- moved into the village to escape the fighting in the countryside ",1,fill,7,1
"E.F. HUTTON & CO . : Now in the process of being absorbed by Shearson Lehman Brothers , Hutton does n't seem to have picked stocks as well as Shearson did ",0,absorb,12,0
But a source close to Black & Decker acknowledged that the company had received the information from American Standard and said that the company 's representatives will meet with American Standard officials this afternoon to examine nonpublic information ,0,examine,35,0
"'' I tried to move and talk but that was impossible , '' recalled an Australian boy in 1973 , after he fell ill from eating puffer fish ",0,eat,25,0
"In Mr. Kupfer 's '' Ring , '' a nuclear war has melted most of the world and made shopping difficult ",1,melt,12,1
It really is a shame the famous old astrologer and Reagan friend Carroll Righter died last week and missed all this ,0,miss,18,0
"They never say excuse me , '' says Jacqueline Yun , a crop - haired Korean - American , as she drags on a cigarette ",1,drag,21,1
"The company had a $ 14.24 billion working capital surplus at year end , but $ 13.98 billion of that came from money lent by GMAC to the parent , which took over financing of wholesale sales to dealers ",0,lend,23,0
The outlook for the Peruvian miners strike remained cloudy ,0,strike,6,0
"'' Of course , the bondholders will have to ask : Is dissolving the company better than reorganization ? '",1,dissolve,12,1
"Domestic private consumption has been eating up about $ 3 billion or more a year , even during the war ",1,eat,5,1
"At least Mr. Gay is honest enough , in this instance , to acknowledge that Freud 's entire '' psychoanalysis '' of Leonardo rested on the mistranslation of an Italian word into the German text that served as Freud 's source -- and that '' this gaffe , '' though first pointed out in 1923 , was '' never acknowledged by Freud . . . '",0,rest,23,0
Who will now step into this maw is a question the company does n't have much time to puzzle over ,1,step,3,1
"From the answer to the Vietnam issue , should it ever be conclusively decided , will flow the prevailing view of America 's world role ",0,flow,16,0
The kinky Keynesians who devised it will be lucky to escape across the Potomac with their pie charts ,0,escape,10,0
"Jordan , with a flagging economy and a 4.2 % annual birth - rate , could n't absorb another influx of refugees no matter how sympathetically it viewed their plight ",1,absorb,17,1
"Money managers who pattern their portfolios on this index usually buy the new additions , causing a flurry of activity and pumping up the price of the shares ",1,pump,21,1
"'' If Roger had purposely set out to destroy all morale in what was once the most confident and secure company going , he could n't have done a better job , '' Mr. Lee quotes an unnamed GM executive ",1,destroy,8,1
"Her daughter demanded that she keep silent , telling her , '' You wo n't have a home to sleep in if you say anything about this . '",1,sleep,19,1
"'' This issue touches all Californians -- it 's the biggest economic prop around -- and he 's got to deal with it , '' says Mervin Field , the non - partisan California pollster ",1,touch,3,1
"'' But it would be unusual for the appeals court to kick him out , since all the judges have to live with each other . '",0,kick,11,0
"Limited grew so quickly and was such a hit on Wall Street for so long '' that some of us thought it could escape the current fashion retail slump , but that is n't the case . '",0,escape,23,0
Others are drinking heavily ,0,drink,2,0
Some are trying to escape childhoods troubled by missing fathers or drug - addicted mothers ,0,miss,8,0
"Blacks who have quit white - run businesses say they do n't miss insults from whites who often did n't even realize they were insulting , or the edginess on the part of whites uncomfortable around blacks ",0,miss,12,0
"Among the hundreds of pages of affidavits and depositions filed by the SEC with a federal court in New York earlier this week are sworn statements by six of Mr. Wang 's colleagues in Morgan Stanley 's mergers and acquisitions department indicating that he was intimately familiar with much of their work , and sometimes may have pumped them for details ",1,pump,57,1
"In Washington , former Treasury Secretary James A. Baker and former Federal Reserve Board Chairman Paul A. Volcker , architects of the present flagging international debt strategy , have both stepped down ",1,step,30,1
"At the same time , Coleco 's diversification plan -- which industry analysts approve of as a way to smooth out the company 's ups and down of the past -- has been disappointing so far ",0,smooth,19,0
"In a news conference on their first day in office , the executives said they plan '' to stick closely '' to the strategic direction of Mr. Marous 's predecessor , Douglas D. Danforth , who retired ",1,stick,18,1
"The pumps can be reprogrammed by telephone to alter dosages , and he says that one of his young patients recently resumed riding a bicycle ",0,ride,22,0
Pakistani cheating could prompt Moscow to declare the accords void or to attack Afghan - resistance camps in Pakistan ,0,attack,12,0
"Black & Decker Corp. stepped up pressure on American Standard Inc . , indicating that it might further sweeten its $ 65-a - share bid if financial information supports a higher figure ",1,step,4,1
"He did n't set a deadline for destroying PCBs , but said movable disposal units might be leased from the U.S. to help eliminate those stored in warehouses across the country ",0,destroy,7,0
"'' A German , '' said Mr. Bradford , '' is just not going to drink beer out of a can . '",0,drink,15,0
"In the letter , Tom Matthews , Eastern 's senior vice president of human resources , asked the mediation board to begin a 30-day countdown after which the machinists union would be free to strike -- and Eastern free to impose unilaterally the cost -- saving contract that it wants ",0,strike,34,0
"'' We have n't dug down to see '' what is missing , says Mr. Nelson ",0,miss,11,0
"With their boss routinely delving into the nuts and bolts of prospective projects -LRB- he likes to '' kick the tires , '' says a colleague -RRB- , Mr. Schwartz 's team of 20 people spends roughly two - thirds of their time analyzing alternative proposals ",1,kick,18,1
"Soybean seed sales skidded last spring in South Carolina , and dealers were forced to destroy tens of thousands of bags ",0,destroy,15,0
"'' The hot weather just about melted him away , '' Mr. Corbett says with a sigh ",1,melt,6,1
"It also said that 35 , 478 troops were wounded and that 311 remained missing in the Soviet Union 's battle with anti - Kabul Moslem insurgents ",0,miss,14,0
"Some of those arrested were dragged from buses that were to take them back to Managua ; others , such as 18-year - old Norman Lenin Cardoza -LRB- who denies ever attending the rally -RRB- and attorney Roger Guevara Mena , were arrested by state security police days later ",0,drag,5,0
"Two young women in the front seat were n't wearing belts , but escaped without permanent injuries ",0,escape,13,0
"Mr. Norris added that silver 's sharp fall can be attributed to a series of technical levels that it hit , touching off heavy selling by commodity funds ",1,touch,21,1
Mr. Marino said the the mechanism calls for debt service to be met from property and sales tax revenue that flows through the state comptroller 's office before being diverted to city coffers ,1,flow,20,1
"Currently , the company is fixing only 200 to 300 units a day , far below TRW 's goal of 2 , 000 units a day ",0,fix,5,0
"About 80 separate documents had to be filled out , many of them in an effort to reassure institutional money managers about the company 's credit - worthiness and prospects , Mr. Koch says , adding , '' There were times I wanted to kill . '",0,fill,7,0
"Dave Hoover rolls his 400-pound minijet above the air - show crowd , swooping to within a dozen feet of the runway and popping his landing gear in and out ",0,roll,2,0
"But as most of those certificates are destroyed in favor of computer records , the investor who requests a certificate will have to wait until it 's delivered by the city or state that issued the bond ",0,destroy,7,0
"What they are pushing is elimination or weakening of cost - of - living clauses , greater links between compensation and corporate performance , and more emphasis on lump - sum payments that do n't step up the wage base ",1,step,35,1
"In the classic model , a bull market flourishes when money flows into the market ",0,flourish,8,0
"In late June , for example , a group that included Teddy Roosevelt 's great - great - granddaughter stood down some bulldozers trying to plow a road through a moor near the island village of Siasconset ",0,plow,25,0
"Mr. Grauer added , '' The commission totally missed the point ",0,miss,8,0
We told you the truth and we stepped up to those issues . ',1,step,7,1
"At age eight , he wrote a story about people , somewhere far away , who ate stars hatched from purple pebbles ",1,eat,16,1
Phalanx can be overwhelmed when a ship is attacked by several missiles at once -LRB- the Stark was struck by two Exocets -RRB- ,0,strike,18,0
"Major retailers have become very good at playing competing manufacturers against one another to obtain free display fixtures , cooperative advertising , extended payment terms and other concessions , as well as price discounts , he said ",1,play,7,1
"'' We do n't know which he painted first , the deformity or the sweep of her flowing hair , '' he says firmly ",1,flow,17,1
"In the latter instance , a man dressed as Christ and dragging a cross was in the demonstration ",1,drag,11,1
"Coincidence perhaps , but within 48 hours , Ms. Fox says , it rained here ",1,rain,13,1
Then he drop - kicked the ball through some goal posts about 50 yards distant ,0,kick,4,0
"When it finally rained , it was a letdown . '",1,rain,3,1
"Neither man is currently a government official , but the idea of a reprise of Mr. Kissinger 's famed opening to China in the early 1970s is so tantalizing that the rumor refuses to die ",1,die,34,1
Cautious bureaucrats drag their feet while progressive colleagues and scientists urge reform ,1,drag,2,1
"The upper classes do not take food or water from them nor sit , eat or drink with them ",1,drink,16,1
"Meanwhile , law - enforcement officials said that investigators are examining the fierce competition that developed between military contractors over a $ 168.9 million contract to build a prototype surveillance blimp for the Navy ",1,examine,10,1
"Thus , Japanese companies would have to fight it out with foreign rivals that are targeting the same niche , including Fokker B.V. of the Netherlands , British Aerospace PLC , MBB and Boeing ",0,target,15,0
"But when the rangers drove the girls to the ranger station , the unattended youth sped away , drank heavily , and 10 hours later smashed into a motorcyclist ",0,drink,4,0
The shelling killed two people in his kibbutz ,0,kill,2,0
Reserving enables banks to absorb losses on bad credits ,0,absorb,4,0
"Its theme -- Peter dragging Russia out of the dank Dark Ages -- is vast and lofty , and perhaps only a man who dreamed and drank too much would have had the gumption to cut so wide and deep a swath into the heart of Russia ",0,drink,26,0
NASA partisans blame the administration for allowing the civilian space agency to drift and deteriorate through the 1980s while pouring vast sums into the Pentagon ,1,pour,19,1
"Perhaps the Logan regulators have made themselves a bed they can not sleep in , suggests Mr. Smith : '' An ideology of radical egalitarianism that sees people as uniform blocks of mud is what gives you the idea that 200 scouts are better than two CEOs . '",1,sleep,12,1
He said he hoped the new exam would help put to rest recurring charges by teacher unions and others that existing teacher tests do n't accurately assess classroom skills and are unfair to minorities ,1,rest,11,1
"Like many recent LBOs gone public , however , Days Inns had begun to wither even before the market crash , as investor interest in small issues began to wane ",0,wither,14,0
Dollars flowed from automated teller machines ,0,flow,1,0
"Smaller , more precise probes were developed that researchers hoped would home in on the missing DNA bit and , possibly , the DMD gene itself ",0,miss,15,0
"When a New York magazine confronted Wasserstein Perella with an as - yet - unpublished unflattering story about the new firm , Wasserstein Perella officials suspected First Boston of planting it ",0,plant,29,0
"Together they strike back , forming a company to produce clothes for the senior - citizen set ",0,strike,2,0
"If he and the Senate differ sharply on the answers , the treaties probably will die in the Senate , and the setback to U.S.Soviet relations will be severe ",0,die,15,0
"In light of all this , you might expect the government here to pour millions into science ",1,pour,13,1
"He now says that specialty retailing fills the bill , but he made a number of profitable forays in the meantime ",1,fill,6,1
"Big technology stocks , hit hard by yesterday 's downturn on Wall Street , dragged down the main over - the - counter market indicators ",1,drag,14,1
"On Friday , Commander Abdul Haq 's troops attacked Kabul Airport with new Sacher incendiary rockets ",0,attack,8,0
The low pressure causes liquid in the arm to evaporate and to be pulled into the pipe ,0,evaporate,9,0
"In addition to warning pilots when they hit unexpected , low - altitude wind shear , the new required equipment will provide the crew with computer - generated instructions on the best path to take to escape the wind shear ",0,escape,36,0
"Several Wall Street investment bankers said clients have instructed them to examine the feasibility of topping the Swiss giant 's bid , but emphasized that interest so far is preliminary ",0,examine,11,0
"China poured tens of thousands of dollars into producing the country 's first batch of U.S .- trained M.B.A.s , including Mr. Wang ",1,pour,1,1
"In short , a completely effective SDI would give the Soviets what they do not now have : the ability to strike the U.S. without fear of retaliation ",0,strike,21,0
"In this nervous , jumpy world economic reality matters less than the rumors and out - of - context scraps of information that pour into the trading rooms ",0,pour,23,0
"The GAO was also to examine if the law has caused excessive red tape for employers , and if the law is being implemented well ",1,examine,5,1
"There was no immediate claim of responsibility , but police said the bomb was probably planted by Sinhalese extremists in retaliation for the restaurant owner 's defiance of a call for a general strike ",1,plant,15,1
"This weapon could be extremely powerful , perhaps ideal for the European battlefield -- simply put attacking troops to sleep ",1,sleep,19,1
"'' Cold water has been poured on the market and any advance has been stopped dead in its tracks , '' one dealer said ",1,pour,5,1
Whether that should be welcome news or cause for alarm depends on one 's confidence in the ability of Congress to write rules for markets without destroying them ,0,destroy,26,0
'' We 're going to keep attacking . ',0,attack,6,0
"In 1985 and 1986 , when pictures of rioting blacks and rampaging white policemen filled television screens around the world , the perception was that South Africa 's white - dominated government was losing its grip ",1,fill,14,1
"In the third '' mansion , '' the lascivious emperor , Diocletian -LRB- Patrick Dupond -RRB- , dances a pas de deux with the youth and then repeats it , almost step for step , with the queen ",0,dance,17,0
"Winos will drink anything if need be , but when they have the money to buy what they want , they tend to hew to the familiar . -LRB- Sales resistance may help explain why the handful of low - end products that companies have tried to launch in the past 20 years mostly have bombed . -RRB-/-R",0,drink,2,0
"Arden L. Bement Jr . , vice president , technical resources , of TRW Inc . , was named a director of this maker of electronic test and measurement instruments , filling a vacancy ",0,fill,31,0
Coke is even directly attacking coffee 's breakfast appeal with radio ads urging people to drink something cold to come '' alive in the morning . ',0,drink,15,0
"Stones are laid close together , generally slanting inward , with each stone touching as many others as possible ",0,touch,13,0
"Pressure mounted on Pakistan to sign an accord aimed at securing the withdrawal of about 115 , 000 Soviet troops from neighboring Afghanistan , but Islamabad appeared to be sticking to its demand for a new government in Kabul to oversee the pullout ",1,stick,29,1
"An example : Last fall , Joseph Biden 's campaign was destroyed after a leaked videotape showed similarities between his speech and one given by British Labor Party leader Neil Kinnock ",1,destroy,11,1
"When the baby drops a rattle , Mr. Prentnieks scoops it up and puts it in the baby 's fist -- still listening to Mr. Jackson 's speech with his camera rolling ",0,roll,3,0
A revenue passenger mile is one paying passenger flown one mile ,0,fly,8,0
"Here in Masaya , supporters of a group known as the Mothers of Political Prisoners were brutally attacked by turbas in a well - documented incident in March ",0,attack,17,0
"The clash of goals is rare in postwar Japan , where consensus has enabled banks and industry to flourish ",1,flourish,18,1
"Koversada , maybe humanity 's greatest undraped conurbation , sleeps more than 100 , 000 ",0,sleep,9,0
"A purported $ 16-a - share offer for Superior Industries International Inc. evaporated yesterday after a flurry of activity in which one supposed player , Prudential - Bache Securities Inc . , denied it had authorized such a buy - out offer ",1,evaporate,12,1
"Last Tuesday , a federal jury in Akron , Ohio said it could n't identify a defect that could have caused an Audi 5000 to suddenly accelerate in an accident that killed a six - year - old boy ",0,kill,31,0
"It concluded that some 9 % of the population , or 1.5 million people , probably has been killed ",0,kill,18,0
"Here in Masaya , supporters of a group known as the Mothers of Political Prisoners were brutally attacked by turbas in a well - documented incident in March ",0,attack,17,0
"The storm killed about 100 people on land , and left more than 100 , 000 homeless ",1,kill,2,1
"'' While physicians should never directly cause death , they must always act in the best interest of their patients and that sometimes includes allowing them to die , '' Dr. Sammons said in a statement ",0,die,27,0
"Thus , while government officials concede apartheid must die , they ca n't bring themselves to kill it ",1,die,8,1
"Elise holds out empty arms , pleading with Andrew to fill them , but the chasm is too wide , the distance traveled in different directions too great ",1,fill,10,1
Texas Air said the sale of the hourly New York - Boston - Washington shuttle is intended to pump cash into long - ailing Eastern ,1,pump,18,1
Thousands of Chinese soccer fans battled police and besieged a rival team 's hotel during a riot Monday night ,0,besiege,8,0
"'' We are beginning to ride the same boat as the U.S . , '' says Yasuo Hayashi , the director of the Ministry of International Trade and Industry 's textile division ",0,ride,5,0
"Richard Boyle , vice chairman of Chase Manhattan Corp . , avoids serious business when eating in with staffers ; '' I do n't want to give people indigestion , '' he explains ",1,eat,15,1
