sentence,correct_label,arg1,arg2,verb,prediction
"When she hears that prisoners sometimes carve their names into logs that float downriver , she grabs her child and runs with her to the river .",1,she,grabs,child,1
Morty Bennett eats a scallop and shrimp entree at a Chinese restaurant in Miami .,0,bennett,eats,scallop,0
"The latest truce in the week-old battle , which has killed 188 and injured 534 , was arranged by Syrian President Assad and Iranian President Khamenei .",1,which,killed,188,1
"All agree that the state must diversify its industrial base to escape the recently detrimental reliance on oil , said Ron Jones , chairman of the New Orleans Business Council and president of Louisiana Coca Cola Bottling Ltd .",1,state,escape,base,1
`` It floods the area instead of having hot pinpoints of glaring light . '',1,it,floods,area,1
"Next month , A & P will roll out these jams and jellies , now sold only in New York , to its 986 stores in the U.S .",1,a,roll,jams,1
"The fast-paced , slapstick nature of the commercials for Goodyear 's automotive service centers contrasts sharply with previous campaigns that subtly stressed the safety of Goodyear tires while also striking an emotional chord with viewers .",0,campaigns,striking,chord,0
"Emulating Japan 's broad-based conglomerates , Samsung Electronics Co. will officially absorb Samsung Semiconductor & Telecommunications Co .",0,co.,absorb,semiconductor,1
Mr. Gallas says he began looking into melanin about five years ago when he was working on solar energy and was looking for materials that absorb sunlight .,0,that,absorb,sunlight,0
It said that the companies are examining the possibilities provided within the framework of securities law but that `` all these considerations have n't been in any way concluded . '',0,companies,examining,possibilities,0
"Among those who drink alcoholic beverages world-wide , 8 % consume daily amounts that are damaging to their health and to society .",0,who,drink,beverages,0
-- The justices refused to hear an antitrust appeal by actor Paul Newman and director George Roy Hill in a suit charging that MCA Inc. and its Universal City Studios Inc. unit conspired to fix the percentage of film revenue paid to artists .,1,suit,fix,percentage,1
"One of the funniest scenes in the play comes near the end , when Frank visits Sylvester 's apartment to fix a leak in the ceiling .",0,apartment,fix,leak,0
"Indiana Rep. Andrew Jacobs , a Democrat who 's neutral in the presidential-nomination contest , says Mr. Gephardt reminds him of a time in his life when he had to eat a lot of dinners at a drive-in restaurant .",1,time,eat,lot,1
The result: Some car makers are cooling their hot rods .,1,makers,cooling,rods,1
Olds is n't the only advertiser targeting Southern California with such campaigns .,0,advertiser,targeting,california,0
"While Mr. Gorbachev preached togetherness yesterday , Romania was kicking Hungary 's ambassador out of the country .",1,romania,kicking,ambassador,1
"Mr. Martineau also says the tractors reflect another Russian approach to manufacturing: `` You could melt down one Belarus and make three American tractors with the amount of metal the Russians have put in it , '' he says .",1,you,melt,belarus,1
"The rate on funds , or reserves that banks lend each other overnight , averaged about 7 1 2 % , up from 7.42 % Friday .",0,banks,lend,other,0
But there were stumbling blocks from the start .,1,there,stumbling,blocks,1
"`` A strong opening in platinum coupled with a weak dollar just grabbed gold by the horns and took it on up , '' he said .",1,opening,grabbed,gold,1
"But the report , published in today 's edition of Science , lends credence to a body of opinion that HIV-2 in some cases may not ravage T-4 cells -- immune sentries of the bloodstream -- as much as it harms cells of the brain or bowel , said Dr. Levy in an interview .",0,report,lends,credence,0
"But some physicians questioned the effectiveness of the drug , designed to dissolve gallstones , and how widely it might be used .",0,effectiveness,dissolve,gallstones,0
`` I 'm quite sure there was someone within the IBM structure that could have just reached in and fixed it . '',1,structure,fixed,it,1
"My late father-in-law , Jean Le Gorre , once recounted an early experience in the French army during World War I where on bivouac he examined his field ration -- a piece of issue `` hardtack . ''",0,he,examined,ration,0
"Moody 's said it will examine the effect of such a tender offer , if sucessfully completed , on Facet 's capital structure and debt-protection measurements .",0,it,examine,effect,0
"It kills the parasite residing in red blood cells and has few side effects , SmithKline said .",0,it,kills,parasite,0
"Nevertheless , they continue to pump money into the market .",1,they,pump,money,1
"The message was programmed to be seen only once -- on March 2 -- `` then it killed itself , '' she said .",1,it,killed,itself,0
"During the past 18 months , the Houston-based unit of Texas Air Corp. absorbed several carriers , in the process inheriting a hodge-podge of different aircraft .",1,unit,absorbed,carriers,1
"`` The market is absorbing all of the mill 's output of supercalender paper , '' Mr. Nugent said .",0,market,absorbing,all,1
"In Kindred 1002 alone , the scientists have examined 350 members .",0,scientists,examined,members,0
"CNW Corp . , the parent of the Chicago & North Western Transportation Co . , said President Reagan has ordered the creation of a presidential emergency board to examine the issues in a labor dispute over crew size , thus temporarily averting a strike that had been scheduled for tomorrow night .",0,reagan,examine,creation,0
"`` I do n't think anyone liked the Nissan campaign , but they went out of their way not to knock it , '' says Eli Bloom , the New York GM dealer who sits on the selection committee . -LRB- Mr .",1,they,knock,it,1
Most patients will not be aware of an expensive test forgone or a consultation not provided -- omissions that can readily escape detection if they are limited in scope .,0,that,escape,detection,0
"`` That remark -LRB- of the official -RRB- definitely cooled the heels of the bulls , '' said Paul Clohesy , chief dealer at Australia and New Zealand Banking Group Ltd. in New York .",1,remark,cooled,heels,1
"The subject is Oedipus 's death , and perhaps because death is the one thing that still fills us with awe , the excellence of this scene transmits a shiver of the tragedy 's original force .",1,that,fills,us,1
"The issue is particularly hot in Florida , where a coalition of civic leaders , civil libertarians and Hispanic groups went to federal court recently in an unsuccessful attempt to knock the proposed amendment off the ballot .",1,attempt,knock,amendment,1
"More recently , Pablo Casals 's widow lent him her husband 's precious Goffriller cello for two years and the teen-ager played chamber music at Carnegie Hall with Isaac Stern , Yo-Yo Ma and other luminaries .",0,widow,lent,him,0
A Middle Eastern analyst says Lebanese usually drink coffee at such occasions ; Palestinians drink tea .,0,lebanese,drink,coffee,0
"Prompted by news reports of alleged misappropriation of funds , the SEC visited the firm 's New York headquarters last week with the intention of examining business records .",0,intention,examining,records,0
"The agreement appears to allow Wilson , a pork processor and producer , to escape the clutches of Doskocil Cos . , a Hutchinson , Kan . , maker of pizza toppings that has waged an aggressive takeover battle .",0,wilson,escape,clutches,0
Three former scholarship winners now fly border patrol for the U.S. Customs Service .,1,winners,fly,patrol,1
"You have to plant it when it 's small , and wait for it to grow. '",0,you,plant,it,0
"There was market speculation yesterday that senior officials of Olympia & York may have met secretly with Michael D. Dingman , chairman and chief executive officer of Henley , in an effort to smooth over a rift between the two one-time suitors for Santa Fe , a Chicago-based railroad and energy concern .",1,effort,smooth,rift,1
"CNW Corp . , the parent of the Chicago & North Western Transportation Co . , said President Reagan has ordered the creation of a presidential emergency board to examine the issues in a labor dispute over crew size , thus temporarily averting a strike that had been scheduled for tomorrow night .",0,reagan,examine,issues,0
"Baaron Pittenger , a long-time USOC aide who had served as acting executive director after Mr. Miller left , was named to fill the vacant post until year end , when Mr. Schiller 's contract expires .",0,pittenger,fill,post,0
Karen Stern has played the harp surrounded by ice sculptures at a restaurant and as part of the display for a three-foot-high cake at a pastry competition .,1,stern,played,harp,1
"Since late January , the Fed has pushed the rate on federal funds , or reserves banks lend one another overnight , down a quarter of a percentage point to 6 1 2 % and then back up to about 6 3 4 % .",0,banks,lend,one,0
The Pac Man defense is named after the video game in which characters try to eat other characters before they get eaten themselves .,1,they,eaten,themselves,1
"Unself-consciously , the littlest cast member with the big voice steps into the audience in one number to open her wide cat-eyes and throat to melt the heart of one lucky patron each night .",1,member,melt,heart,1
They have had to learn through the press about the sweet terms he had struck for himself and his small management group .,1,he,struck,for,1
"This expert also believes that Pyongyang might use helicopters it has bought from the West , which are identical to those used by the Seoul army , to attack student demonstrators .",0,pyongyang,attack,helicopters,0
"Early last month , U.S. investors such as Rockefeller Foundation and Equitable Capital Management Corp. plowed $ 225 million into Advent Corp. 's International Network Fund .",0,investors,plowed,million,0
It was a fight that filled magazines and books and gave professors case histories for business schools .,1,that,filled,books,1
"Though they may fill some of the same military needs , the missiles are quite different from any arms the Saudis have sought from the U.S .",0,they,fill,some,0
"To air fresh shows through June , `` we 'd have to eat the second showing of some episodes , '' he said , which would cause a financial hit .",1,we,eat,showing,1
He killed 47 in one month .,0,he,killed,47,0
"The lower court had enjoined the effect of its decision , pending the appeal , but the appeals court dissolved the injunction .",1,court,dissolved,injunction,1
"The union struck car haulers over a 1985 contract , but locals do n't want to strike this time , largely because the action is seen as having little clout while auto makers are closed for model changeover .",0,union,struck,haulers,0
Mr. Hauke `` is looking for a much more costly repair that is nonstandard and would knock the price beyond the the { $ 500} limit for a buy-back . '',1,repair,knock,price,1
"Farmers in Kansas , the No. 1 wheat-producing state , planted 10.2 million acres , the smallest since 1971 .",0,farmers,planted,smallest,0
They are irate about new capital-adequacy requirements that force securities firms to pump at least 20 % more capital into reserves .,1,requirements,pump,%,1
"He is part of a growing air force of amateur aces around the country who rebuild and fly aging warplanes , indulging in weekend flights of fantasy like Mr. Deakins 's Battle of Stuart . -LRB- He won , he says , by keeping Mr. Stephenson , 48 , in his gun sights for 10 seconds ; the planes are unarmed .",0,country,fly,warplanes,0
"When the chairman of Santa Fe Southern Pacific Corp. flew into town a few months ago in the corporate jet , a small group of trainmen here knew they had struck a raw nerve .",1,they,struck,nerve,1
"Mr. Muth is president of Real Estate Advisors Inc . , a Los Angeles investment management firm that agreed to lend Wespac as much as $ 1.5 million under the agreement .",0,firm,lend,wespac,0
"A Dr. E `` examined a horse that had warts on its forelegs , '' begins one item in the newsletter , which withholds names of vets and patients .",0,e,examined,horse,0
"Moreover , the SEC would have the right to examine books and records without prior warning .",0,right,examine,books,0
"Meanwhile , the discounters and specialty stores that have grabbed sales from Sears in recent years are n't likely to stand still while it tries to catch up .",1,that,grabbed,sales,1
Tears roll down Juana Lara 's cheeks when she recalls the family 's desperation a few years ago .,0,tears,roll,cheeks,0
Mr. Story thinks Mr. Holmes a Court will soon target acquisitions .,0,holmes,target,acquisitions,0
"In recent years , Drexel has poured far more resources into areas such as high-yield , `` junk '' bonds , merger and acquisition advice and mortgage-backed securities .",1,drexel,poured,resources,1
"Cray plows more than 15 % of its revenues back into R & D , a very high percentage even for high-tech companies .",0,cray,plows,%,0
The mishap killed a flight attendant .,0,mishap,killed,attendant,0
"FIAT S.P.A . , the Italian auto maker , said it agreed to step up its collaboration with CIA. TELEFONICA NACIONAL DE ESPANA S.A. of Spain in the manufacturing of telecommunications equipment .",1,it,step,collaboration,1
But Mr. Sherlund said he thinks the company has taken steps to fix that problem .,1,steps,fix,problem,1
His antics once provoked an elderly ruling-party legislator to attack him with a cane .,0,antics,attack,legislator,0
"But Korea 's booming economy can absorb them , economists say .",0,economy,absorb,them,1
The oil-service business has been dragging the company 's stock price down since the oil industry peaked in 1981 .,1,business,dragging,price,1
"Among the monographic presentations , one ought not to miss Jacobo Borges 's virtuosic and highly charged paintings at the Venezuelan pavilion and Janez Bernik 's powerfully expressionistic paintings at the Yugoslavian pavilion .",0,one,miss,paintings,0
Texas Air said the sale of the hourly New York-Boston-Washington shuttle is intended to pump cash into long-ailing Eastern .,1,sale,pump,cash,1
He said that parties looking to strike joint venture arrangements with Texaco `` want to know who they 're going to be dealing with in the future . '',0,parties,strike,arrangements,0
"`` Consumer spending would mean a wider -LRB- U.S. -RRB- trade deficit , '' he said , adding , `` we want to examine the content '' of the growth data .",0,we,examine,content,0
"First Federal was then to absorb several other troubled thrifts in federally assisted mergers , as part of the Federal Savings and Loan Insurance Corp. 's so-called Southwest Plan to rescue the many ailing savings and loans based in the region .",0,federal,absorb,thrifts,0
"Iran said its jets bombarded an Iraqi military base and oil refinery in Baghdad , and Iraq said its forces attacked 10 Iranian towns .",0,forces,attacked,towns,0
Lucky 's widely respected management appeared to have escaped Mr. Skaggs when it announced its $ 61-a-share buy-out plan in April .,0,management,escaped,skaggs,1
Both the government and private industry have stepped up efforts to recruit back to Korea scientists who were trained and then stayed abroad .,1,industry,stepped,efforts,1
"Texas is indeed the most dramatic and scandalous example of S & L managers plowing money into dubious projects , often with less than an arms-length relationship with developers and totally unrealistic estimates of the potential income streams of the commercial and residential buildings they were financing .",0,s,plowing,money,0
The Bank of England added that it is `` too early to be sure '' whether the British government 's recent efforts to cool down Britain 's overheated economy `` will prove sufficient to restore the economy to a sustainable path . '',1,efforts,cool,economy,1
"Ne Win , however , saw that Burma escaped the Vietnam vortex .",0,burma,escaped,vortex,0
"As the Army pressed Oshkosh to fix the trucks , says Col. Ronald Cundrick , an Army lawyer , `` we had them stacked all over the place . ''",0,army,fix,oshkosh,0
"Shortly afterward , Bob Adams Inc. in Boston flooded 21 universities nationwide with 10 , 000 copies of its annual two bits of advice , a publication called `` Careers and the M.B.A . ''",1,inc.,flooded,universities,1
Investors ' fears have touched the bonds of companies not immediately identified as takeover targets .,1,fears,touched,bonds,1
"`` You could change husbands , but not the situation , '' she thinks as she examines snack foods .",0,she,examines,foods,0
Few Poles missed that message in his tributes to their leader .,0,poles,missed,message,0
"Over the past year , two teams of researchers , one at Johns Hopkins University and the other in London , have found that cells taken from colon cancer tumors are missing tiny bits of DNA -- possibly even tiny bits of genes -- on two different chromosomes .",0,cells,missing,bits,0
"Critics argue that Barclays 's expansion simply will fill its loan book with bad debts nobody else wants , a contention bank officials dispute .",1,expansion,fill,book,1
An Aer Lingus spokesman claimed Italy is dragging its feet because Alitalia plans to start flights between Milan and Manchester this month .,0,italy,dragging,feet,0
"But Mr. Dole has so far spent much of his campaign attacking Vice President Bush for , among other things , having the effrontery to attack Congress .",0,dole,attacking,bush,0
"The feisty , 62-year-old director of the airline division of the Teamsters union wants 4 , 300 Pan Am reservationists , ticket agents , and office and other workers to strike Pan Am Corp. after a cooling-off period that ends Sunday .",0,reservationists,strike,corp.,0
"`` I thought I was eating him alive , '' recalled a rueful Mr. Bailey of a long-ago debate .",1,i,eating,him,1
"`` But we found that at the end of three weeks , they want to kill you . ''",0,they,kill,you,0
"Tropical storm Chris spawned tornadoes that damaged houses , destroyed mobile homes and caused at least one death in the Carolinas before gradually weakening .",0,houses,destroyed,homes,0
Tokyo is using its overvalued yen to press for big state projects -- which lend themselves to large business contracts .,0,which,lend,themselves,0
"In 1983 , North Korean agents are believed to have set off a bomb in Rangoon , Burma , that killed four South Korean cabinet ministers and 13 other Koreans in what may have been an attempt on the life of then-President Chun Doo Hwan .",0,that,killed,ministers,0
"At the Pavilion , Mr. Worthington pours a last glass .",0,worthington,pours,glass,0
"In his previous handling of the case , Judge Brieant roundly attacked the merits of the Pennzoil judgment .",1,brieant,attacked,merits,1
"-- The peaceful absorption into the world economy and polity of nations now moving swiftly to absorb all the major technologies , a group including among others , China and India , Brazil and Mexico .",0,absorption,absorb,technologies,0
"And the $ 300 million sunflower industry is faring far worse than the $ 10.5 billion soybean industry , which is large enough to absorb short-term setbacks .",1,industry,absorb,setbacks,1
"He adds , `` We 're trying very hard to avoid the Halley 's comet syndrome -- where you grab everything in sight and then you vanish . ''",1,you,grab,everything,1
"Fed officials hope for signs soon that the economy is slowing , which would cool the need for further rate increases .",1,which,cool,need,1
"Two executive vice presidents resigned from First Chicago Corp. to take other jobs , and the banking concern shifted some officers to fill the vacancies .",0,concern,fill,officers,0
But Cameloot was just another loser among the entries that flooded the offices of Circus Circus Enterprises Inc. during a contest to name its planned $ 290 million castle-theme resort .,1,that,flooded,offices,1
"Parasite infections of people who like to eat raw or undercooked fish are increasing , and the main cause is the rising population of seals and other protected marine mammals , scientists reported .",0,people,eat,fish,0
"Lillian Vernon Corp . , a mail-order company , said it is experiencing delays in filling orders at its new national distribution center in Virginia Beach , Va .",1,delays,filling,orders,0
"Most of the machinery in Toyota Motor Corp. 's $ 800 million auto plant in Georgetown , Ky . , came from Japan , for example , and Toyota spokesmen say that when the first cars roll off the assembly line this spring , 40 % of the total value will be imported .",1,cars,roll,line,1
"Short sellers `` have missed some points '' about CopyTele , says Mr. Maxwell , who bought the stock at 9 3 4 .",0,sellers,missed,points,0
"In 1986 , the company slipped into the red with a loss of 40 million marks on massive inventory write-downs on out-of-fashion products that missed new leisure trends set by emerging competitors .",1,that,missed,trends,1
"Before midnight , it had targeted the National Aeronautics and Space Administration Ames Research Center in California 's Silicon Valley , as well as the University of Pittsburgh and the Los Alamos National Laboratory in New Mexico .",0,it,targeted,center,0
"`` If the S & P would 've closed , sell orders would 've flooded New York '' and sent the stock market sharply lower , said one harried trader overlooking the raucous S & P trading pit .",0,orders,flooded,york,0
"Those convoys currently protect only Kuwaiti tankers flying U.S. flags , but in Washington , Pentagon officials are discussing whether to extend protection to all neutral ships .",0,tankers,flying,flags,0
"To use the $ 20 test , dentists stick pieces of paper between the patient 's teeth and gums , then send the paper to BioTechnica for analysis .",0,dentists,stick,pieces,0
It just eats your soul . '',1,it,eats,soul,1
"Ford will recall 103 , 000 1986 Aerostar , Bronco II , and Ranger SuperCab vehicles to fix an electrical problem in vehicles equipped with front power lumbar seats .",0,vehicles,fix,problem,0
"`` No one 's knocking down the door anymore , '' said Paul Lovegren , senior account executive at Wassendorf & Son Co . , Cedar Falls , Iowa .",1,one,knocking,door,1
"In 1925 , Congress said that the Supreme Court has discretion to refuse to hear cases , except when a state supreme court strikes down a federal law or upholds a state law that was challenged as violating the Constitution , or when a federal appeals court strikes down a state law or a federal appeals or district court strikes down a federal law , all on constitutional grounds .",0,court,strikes,law,0
The arrangement would break new legal ground as a means for an insurer to escape its own potential liability by piggybacking on the Chapter 11 reorganization of a former policyholder .,1,insurer,escape,liability,1
"For a time , the OSHA news releases rolled off the presses with regularity .",0,releases,rolled,presses,0
"While American and Delta airlines have reputations as places `` where people really like to work , '' employees at Eastern and Continental `` roll their eyes '' when asked about their jobs , said Southern Illinois University associate professor David A. NewMyer .",1,employees,roll,eyes,1
"Though Telepictures was considered a high-flying entrepreneurial company when it merged with Lorimar , Lorimar 's troubles dragged the company down after the merger , and Mr. Garin clashed over strategy and style with Lorimar Chairman Merv Adelson .",1,troubles,dragged,company,1
"The U.S. and Pakistan long had sought such a `` front-loading '' of the agreement to ensure that the Soviets do n't reap the political benefits of beginning a withdrawal , and then drag their feet in carrying it out .",1,agreement,drag,feet,1
"`` We do n't need the government trying to destroy the industry because of a few bad apples , '' says David L. Ganz , an ANA board member and a lawyer for some coin dealers .",0,government,destroy,industry,0
`` I 'm going to roll up my sleeves and make this work . '',1,m,roll,sleeves,1
"A powerful earthquake struck Nepal and eastern India , triggering landslides and floods and killing at least 500 people and injuring more than 3 , 000 .",0,earthquake,struck,nepal,0
"Senator Kennedy , and the handful of legislators who knew about the secret provision , intended to kill two unfriendly newspapers .",1,kennedy,kill,newspapers,1
"The suspension likely will accelerate inter-union warfare , as the electricians step up their recruitment drive at new sites , while other unions try to grab electricians ' members in factories where they represent the minority , Mr. Metcalfe says .",1,unions,grab,members,1
"Gillette Co. stepped up its attack on Coniston Partners , a New York investment group seeking four seats on Gillette 's board , saying Coniston acts on behalf of `` a web of as yet unidentified and undisclosed investors , '' including foreigners .",1,co.,stepped,attack,1
"Mr. Guy , a N.M. Rothschild & Sons director , said his bank and four other London bullion houses -- Mocatta & Goldsmid Ltd . , Sharps Pixley Ltd . , Samuel Montagu & Co. and Mase Wespac Ltd . -- will continue to carry out the 60-year-old tradition of fixing the price of gold twice a day .",1,tradition,fixing,price,1
But bankers that lend to farmers suddenly are worrying anew about their borrower 's financial health .,0,that,lend,to,0
"Adds George Gallup Jr . , the pollster: `` He 's really striking a responsive chord in the populace . ''",0,he,striking,chord,0
"Besides if Mikhail Gorbachev wants to spend all those resources so the East bloc 's skaters and lugers can pump revenue into ABC , it 's fine with us .",1,skaters,pump,revenue,1
"If that sounds like obstinacy , perhaps it 's time once more to examine carefully the forces that have kept the Arab-Israeli conflict boiling so long .",0,time,examine,forces,0
"`` The new irrigation tunnel has allowed us to plant 6 , 000 willow trees and 600 apple trees and to earn money for the education of our children , '' she says , tears welling in her eyes .",0,us,plant,trees,0
I 'd miss it if I did n't play .,0,i,miss,it,0
"For the record , this was the second straight season in which the Redskins came to Chicago to knock the home team out of the playoffs .",1,season,knock,team,1
